"dinucleotide","powerm","sd","stderr"
"RR",0.111334838709677,0.0303219463349533,0.00544598232952894
"YY",0.109645709677419,0.0263565131851611,0.00473376951099353
"SS",0.0988183548387097,0.0343991250417298,0.00617826524257667
"WW",0.0914577419354839,0.0219350395349051,0.00393964940063588
"GG",0.0766951290322581,0.0178578322139837,0.00320736134833602
"TT",0.0765391935483871,0.0195133472328034,0.00350470062330099
"AA",0.0757553225806452,0.0190547031191551,0.00342232570874639
"CC",0.0734977741935484,0.0189841681543853,0.00340965725509546
