"dinucleotide","powerm","sd","stderr"
"RR",0.103719322580645,0.0286480063417883,0.00514533383148184
"YY",0.101024741935484,0.0253500466652664,0.00455300278770801
"WW",0.099168064516129,0.025839339149103,0.00464088231204691
"SS",0.0974521612903226,0.0311494197646299,0.00559460094478515
"CC",0.0810236129032258,0.0210053531425958,0.00377267279535499
"GG",0.0808127096774194,0.0221730551739321,0.00398239827137042
"AA",0.0804840967741935,0.018127645939016,0.0032558213239114
"TT",0.076146,0.0173803978857409,0.00312161161161401
