"dinucleotide","powerm","sd","stderr"
"YY",0.108155064516129,0.0275830067105763,0.00495405425105962
"RR",0.103610741935484,0.0293431489220996,0.00527018512457034
"SS",0.0991569032258064,0.0308733000896188,0.00554500838715924
"WW",0.0989355806451613,0.0337773995631933,0.00606660005022639
"AA",0.0811555161290323,0.0232011913930743,0.00416705698753412
"TT",0.0805452258064516,0.0215838871610432,0.00387658057247099
"CC",0.0776469677419355,0.0146898978178517,0.00263838353431772
"GG",0.0774587741935484,0.0165543370625539,0.00297324670797302
